Categoría: Todas las categorías

Semana,vacunas: (Colombia)
2020-01-05,9
2020-01-12,10
2020-01-19,11
2020-01-26,9
2020-02-02,11
2020-02-09,8
2020-02-16,8
2020-02-23,10
2020-03-01,10
2020-03-08,9
2020-03-15,9
2020-03-22,9
2020-03-29,9
2020-04-05,8
2020-04-12,10
2020-04-19,11
2020-04-26,11
2020-05-03,11
2020-05-10,11
2020-05-17,12
2020-05-24,10
2020-05-31,10
2020-06-07,11
2020-06-14,10
2020-06-21,12
2020-06-28,10
2020-07-05,10
2020-07-12,10
2020-07-19,13
2020-07-26,12
2020-08-02,11
2020-08-09,12
2020-08-16,10
2020-08-23,11
2020-08-30,10
2020-09-06,9
2020-09-13,10
2020-09-20,10
2020-09-27,10
2020-10-04,9
2020-10-11,10
2020-10-18,10
2020-10-25,10
2020-11-01,9
2020-11-08,10
2020-11-15,11
2020-11-22,10
2020-11-29,12
2020-12-06,12
2020-12-13,13
2020-12-20,14
2020-12-27,13
2021-01-03,18
2021-01-10,24
2021-01-17,29
2021-01-24,40
2021-01-31,34
2021-02-07,29
2021-02-14,76
2021-02-21,41
2021-02-28,34
2021-03-07,37
2021-03-14,36
2021-03-21,33
2021-03-28,32
2021-04-04,40
2021-04-11,40
2021-04-18,45
2021-04-25,43
2021-05-02,37
2021-05-09,44
2021-05-16,43
2021-05-23,61
2021-05-30,67
2021-06-06,59
2021-06-13,68
2021-06-20,82
2021-06-27,85
2021-07-04,91
2021-07-11,92
2021-07-18,82
2021-07-25,100
2021-08-01,71
2021-08-08,64
2021-08-15,68
2021-08-22,77
2021-08-29,57
2021-09-05,50
2021-09-12,50
2021-09-19,55
2021-09-26,47
2021-10-03,41
2021-10-10,34
2021-10-17,30
2021-10-24,30
2021-10-31,44
2021-11-07,45
2021-11-14,52
2021-11-21,60
2021-11-28,51
2021-12-05,46
2021-12-12,48
2021-12-19,42
2021-12-26,44
2022-01-02,60
2022-01-09,56
2022-01-16,49
2022-01-23,42
2022-01-30,37
2022-02-06,28
2022-02-13,26
2022-02-20,25
2022-02-27,21
2022-03-06,19
2022-03-13,18
2022-03-20,19
2022-03-27,17
2022-04-03,19
2022-04-10,16
2022-04-17,17
2022-04-24,17
2022-05-01,15
2022-05-08,17
2022-05-15,17
2022-05-22,15
2022-05-29,15
