Categoría: Todas las categorías

Semana,aspirina: (Colombia)
2020-01-05,24
2020-01-12,17
2020-01-19,24
2020-01-26,20
2020-02-02,20
2020-02-09,22
2020-02-16,19
2020-02-23,20
2020-03-01,21
2020-03-08,17
2020-03-15,15
2020-03-22,17
2020-03-29,23
2020-04-05,42
2020-04-12,46
2020-04-19,37
2020-04-26,44
2020-05-03,34
2020-05-10,54
2020-05-17,76
2020-05-24,52
2020-05-31,52
2020-06-07,55
2020-06-14,62
2020-06-21,61
2020-06-28,64
2020-07-05,78
2020-07-12,87
2020-07-19,100
2020-07-26,87
2020-08-02,71
2020-08-09,51
2020-08-16,50
2020-08-23,42
2020-08-30,36
2020-09-06,35
2020-09-13,35
2020-09-20,36
2020-09-27,36
2020-10-04,38
2020-10-11,37
2020-10-18,34
2020-10-25,33
2020-11-01,39
2020-11-08,37
2020-11-15,32
2020-11-22,30
2020-11-29,32
2020-12-06,38
2020-12-13,34
2020-12-20,41
2020-12-27,48
2021-01-03,50
2021-01-10,53
2021-01-17,49
2021-01-24,50
2021-01-31,36
2021-02-07,32
2021-02-14,29
2021-02-21,28
2021-02-28,28
2021-03-07,26
2021-03-14,29
2021-03-21,31
2021-03-28,37
2021-04-04,41
2021-04-11,45
2021-04-18,43
2021-04-25,44
2021-05-02,34
2021-05-09,38
2021-05-16,45
2021-05-23,42
2021-05-30,43
2021-06-06,49
2021-06-13,44
2021-06-20,51
2021-06-27,58
2021-07-04,47
2021-07-11,38
2021-07-18,37
2021-07-25,36
2021-08-01,33
2021-08-08,31
2021-08-15,31
2021-08-22,31
2021-08-29,27
2021-09-05,29
2021-09-12,26
2021-09-19,22
2021-09-26,28
2021-10-03,24
2021-10-10,26
2021-10-17,23
2021-10-24,19
2021-10-31,22
2021-11-07,20
2021-11-14,27
2021-11-21,22
2021-11-28,25
2021-12-05,21
2021-12-12,26
2021-12-19,25
2021-12-26,29
2022-01-02,37
2022-01-09,35
2022-01-16,38
2022-01-23,34
2022-01-30,31
2022-02-06,29
2022-02-13,26
2022-02-20,29
2022-02-27,24
2022-03-06,26
2022-03-13,26
2022-03-20,31
2022-03-27,28
2022-04-03,27
2022-04-10,25
2022-04-17,28
2022-04-24,26
2022-05-01,24
2022-05-08,24
2022-05-15,27
2022-05-22,25
2022-05-29,25
