Categoría: Todas las categorías

Semana,hipertension: (Colombia)
2020-01-05,44
2020-01-12,51
2020-01-19,69
2020-01-26,68
2020-02-02,78
2020-02-09,81
2020-02-16,89
2020-02-23,75
2020-03-01,70
2020-03-08,73
2020-03-15,78
2020-03-22,73
2020-03-29,88
2020-04-05,78
2020-04-12,88
2020-04-19,81
2020-04-26,81
2020-05-03,91
2020-05-10,85
2020-05-17,97
2020-05-24,76
2020-05-31,71
2020-06-07,79
2020-06-14,59
2020-06-21,61
2020-06-28,47
2020-07-05,70
2020-07-12,59
2020-07-19,86
2020-07-26,86
2020-08-02,68
2020-08-09,86
2020-08-16,86
2020-08-23,84
2020-08-30,98
2020-09-06,93
2020-09-13,78
2020-09-20,80
2020-09-27,49
2020-10-04,83
2020-10-11,64
2020-10-18,79
2020-10-25,70
2020-11-01,74
2020-11-08,66
2020-11-15,76
2020-11-22,64
2020-11-29,58
2020-12-06,66
2020-12-13,61
2020-12-20,58
2020-12-27,42
2021-01-03,44
2021-01-10,62
2021-01-17,63
2021-01-24,66
2021-01-31,64
2021-02-07,70
2021-02-14,76
2021-02-21,75
2021-02-28,69
2021-03-07,66
2021-03-14,71
2021-03-21,64
2021-03-28,29
2021-04-04,64
2021-04-11,76
2021-04-18,60
2021-04-25,61
2021-05-02,53
2021-05-09,62
2021-05-16,80
2021-05-23,62
2021-05-30,58
2021-06-06,48
2021-06-13,69
2021-06-20,55
2021-06-27,57
2021-07-04,54
2021-07-11,67
2021-07-18,53
2021-07-25,57
2021-08-01,69
2021-08-08,77
2021-08-15,58
2021-08-22,70
2021-08-29,64
2021-09-05,54
2021-09-12,71
2021-09-19,53
2021-09-26,69
2021-10-03,58
2021-10-10,71
2021-10-17,84
2021-10-24,58
2021-10-31,78
2021-11-07,69
2021-11-14,62
2021-11-21,69
2021-11-28,57
2021-12-05,58
2021-12-12,32
2021-12-19,24
2021-12-26,41
2022-01-02,40
2022-01-09,52
2022-01-16,66
2022-01-23,59
2022-01-30,60
2022-02-06,79
2022-02-13,66
2022-02-20,65
2022-02-27,73
2022-03-06,69
2022-03-13,64
2022-03-20,72
2022-03-27,64
2022-04-03,86
2022-04-10,40
2022-04-17,82
2022-04-24,68
2022-05-01,83
2022-05-08,82
2022-05-15,100
2022-05-22,77
2022-05-29,56
