Categoría: Todas las categorías

Semana,acv: (Colombia)
2020-01-05,57
2020-01-12,51
2020-01-19,44
2020-01-26,59
2020-02-02,39
2020-02-09,65
2020-02-16,63
2020-02-23,66
2020-03-01,58
2020-03-08,67
2020-03-15,55
2020-03-22,40
2020-03-29,75
2020-04-05,57
2020-04-12,63
2020-04-19,62
2020-04-26,69
2020-05-03,49
2020-05-10,74
2020-05-17,59
2020-05-24,58
2020-05-31,47
2020-06-07,56
2020-06-14,59
2020-06-21,46
2020-06-28,56
2020-07-05,43
2020-07-12,47
2020-07-19,38
2020-07-26,51
2020-08-02,37
2020-08-09,41
2020-08-16,49
2020-08-23,61
2020-08-30,60
2020-09-06,69
2020-09-13,60
2020-09-20,43
2020-09-27,71
2020-10-04,50
2020-10-11,38
2020-10-18,61
2020-10-25,52
2020-11-01,57
2020-11-08,68
2020-11-15,44
2020-11-22,48
2020-11-29,55
2020-12-06,54
2020-12-13,68
2020-12-20,41
2020-12-27,43
2021-01-03,48
2021-01-10,39
2021-01-17,48
2021-01-24,42
2021-01-31,71
2021-02-07,57
2021-02-14,58
2021-02-21,70
2021-02-28,40
2021-03-07,53
2021-03-14,47
2021-03-21,56
2021-03-28,48
2021-04-04,59
2021-04-11,61
2021-04-18,63
2021-04-25,63
2021-05-02,56
2021-05-09,58
2021-05-16,65
2021-05-23,56
2021-05-30,59
2021-06-06,52
2021-06-13,51
2021-06-20,50
2021-06-27,52
2021-07-04,52
2021-07-11,76
2021-07-18,48
2021-07-25,45
2021-08-01,60
2021-08-08,64
2021-08-15,55
2021-08-22,66
2021-08-29,66
2021-09-05,68
2021-09-12,62
2021-09-19,57
2021-09-26,65
2021-10-03,72
2021-10-10,51
2021-10-17,67
2021-10-24,76
2021-10-31,75
2021-11-07,92
2021-11-14,67
2021-11-21,68
2021-11-28,42
2021-12-05,41
2021-12-12,50
2021-12-19,63
2021-12-26,56
2022-01-02,57
2022-01-09,66
2022-01-16,62
2022-01-23,52
2022-01-30,95
2022-02-06,86
2022-02-13,84
2022-02-20,100
2022-02-27,86
2022-03-06,89
2022-03-13,78
2022-03-20,93
2022-03-27,80
2022-04-03,88
2022-04-10,70
2022-04-17,89
2022-04-24,89
2022-05-01,88
2022-05-08,66
2022-05-15,86
2022-05-22,87
2022-05-29,82
