Categoría: Todas las categorías

Semana,diabetes: (Colombia)
2020-01-05,60
2020-01-12,74
2020-01-19,63
2020-01-26,74
2020-02-02,66
2020-02-09,77
2020-02-16,85
2020-02-23,79
2020-03-01,80
2020-03-08,83
2020-03-15,68
2020-03-22,59
2020-03-29,59
2020-04-05,68
2020-04-12,81
2020-04-19,72
2020-04-26,62
2020-05-03,69
2020-05-10,75
2020-05-17,82
2020-05-24,70
2020-05-31,68
2020-06-07,71
2020-06-14,69
2020-06-21,71
2020-06-28,66
2020-07-05,69
2020-07-12,74
2020-07-19,76
2020-07-26,92
2020-08-02,74
2020-08-09,79
2020-08-16,80
2020-08-23,76
2020-08-30,73
2020-09-06,74
2020-09-13,72
2020-09-20,75
2020-09-27,78
2020-10-04,82
2020-10-11,75
2020-10-18,75
2020-10-25,67
2020-11-01,73
2020-11-08,86
2020-11-15,78
2020-11-22,79
2020-11-29,65
2020-12-06,63
2020-12-13,67
2020-12-20,55
2020-12-27,50
2021-01-03,64
2021-01-10,71
2021-01-17,59
2021-01-24,58
2021-01-31,65
2021-02-07,66
2021-02-14,66
2021-02-21,68
2021-02-28,71
2021-03-07,68
2021-03-14,70
2021-03-21,72
2021-03-28,66
2021-04-04,70
2021-04-11,72
2021-04-18,81
2021-04-25,73
2021-05-02,58
2021-05-09,71
2021-05-16,68
2021-05-23,72
2021-05-30,65
2021-06-06,68
2021-06-13,64
2021-06-20,59
2021-06-27,64
2021-07-04,63
2021-07-11,65
2021-07-18,71
2021-07-25,66
2021-08-01,70
2021-08-08,68
2021-08-15,68
2021-08-22,75
2021-08-29,76
2021-09-05,68
2021-09-12,73
2021-09-19,90
2021-09-26,77
2021-10-03,74
2021-10-10,76
2021-10-17,83
2021-10-24,73
2021-10-31,74
2021-11-07,81
2021-11-14,71
2021-11-21,69
2021-11-28,58
2021-12-05,52
2021-12-12,51
2021-12-19,46
2021-12-26,42
2022-01-02,55
2022-01-09,65
2022-01-16,65
2022-01-23,75
2022-01-30,74
2022-02-06,81
2022-02-13,86
2022-02-20,81
2022-02-27,89
2022-03-06,81
2022-03-13,87
2022-03-20,88
2022-03-27,89
2022-04-03,94
2022-04-10,72
2022-04-17,100
2022-04-24,88
2022-05-01,95
2022-05-08,86
2022-05-15,82
2022-05-22,84
2022-05-29,77
