Categoría: Todas las categorías

Semana,asma: (Colombia)
2020-01-05,42
2020-01-12,33
2020-01-19,44
2020-01-26,46
2020-02-02,43
2020-02-09,58
2020-02-16,61
2020-02-23,73
2020-03-01,64
2020-03-08,71
2020-03-15,100
2020-03-22,77
2020-03-29,95
2020-04-05,76
2020-04-12,77
2020-04-19,71
2020-04-26,77
2020-05-03,72
2020-05-10,78
2020-05-17,76
2020-05-24,66
2020-05-31,64
2020-06-07,53
2020-06-14,55
2020-06-21,59
2020-06-28,41
2020-07-05,47
2020-07-12,59
2020-07-19,56
2020-07-26,53
2020-08-02,52
2020-08-09,65
2020-08-16,59
2020-08-23,59
2020-08-30,52
2020-09-06,61
2020-09-13,61
2020-09-20,56
2020-09-27,58
2020-10-04,45
2020-10-11,57
2020-10-18,53
2020-10-25,55
2020-11-01,44
2020-11-08,58
2020-11-15,45
2020-11-22,50
2020-11-29,47
2020-12-06,46
2020-12-13,38
2020-12-20,47
2020-12-27,51
2021-01-03,46
2021-01-10,46
2021-01-17,51
2021-01-24,50
2021-01-31,44
2021-02-07,52
2021-02-14,45
2021-02-21,46
2021-02-28,47
2021-03-07,50
2021-03-14,58
2021-03-21,45
2021-03-28,43
2021-04-04,50
2021-04-11,68
2021-04-18,70
2021-04-25,59
2021-05-02,57
2021-05-09,60
2021-05-16,54
2021-05-23,64
2021-05-30,46
2021-06-06,61
2021-06-13,79
2021-06-20,48
2021-06-27,60
2021-07-04,71
2021-07-11,70
2021-07-18,70
2021-07-25,49
2021-08-01,53
2021-08-08,62
2021-08-15,63
2021-08-22,66
2021-08-29,74
2021-09-05,67
2021-09-12,54
2021-09-19,67
2021-09-26,57
2021-10-03,67
2021-10-10,58
2021-10-17,52
2021-10-24,59
2021-10-31,58
2021-11-07,79
2021-11-14,53
2021-11-21,51
2021-11-28,45
2021-12-05,42
2021-12-12,52
2021-12-19,47
2021-12-26,49
2022-01-02,51
2022-01-09,60
2022-01-16,57
2022-01-23,54
2022-01-30,46
2022-02-06,66
2022-02-13,66
2022-02-20,73
2022-02-27,74
2022-03-06,74
2022-03-13,68
2022-03-20,74
2022-03-27,90
2022-04-03,85
2022-04-10,76
2022-04-17,83
2022-04-24,89
2022-05-01,87
2022-05-08,90
2022-05-15,87
2022-05-22,85
2022-05-29,83
