Categoría: Todas las categorías

Semana,discoteca: (Colombia)
2020-01-05,44
2020-01-12,54
2020-01-19,47
2020-01-26,46
2020-02-02,42
2020-02-09,37
2020-02-16,100
2020-02-23,48
2020-03-01,49
2020-03-08,48
2020-03-15,25
2020-03-22,14
2020-03-29,15
2020-04-05,18
2020-04-12,16
2020-04-19,16
2020-04-26,16
2020-05-03,14
2020-05-10,11
2020-05-17,18
2020-05-24,18
2020-05-31,14
2020-06-07,16
2020-06-14,13
2020-06-21,12
2020-06-28,13
2020-07-05,19
2020-07-12,10
2020-07-19,17
2020-07-26,15
2020-08-02,10
2020-08-09,11
2020-08-16,17
2020-08-23,17
2020-08-30,12
2020-09-06,17
2020-09-13,14
2020-09-20,16
2020-09-27,18
2020-10-04,22
2020-10-11,19
2020-10-18,22
2020-10-25,21
2020-11-01,20
2020-11-08,18
2020-11-15,19
2020-11-22,24
2020-11-29,23
2020-12-06,28
2020-12-13,24
2020-12-20,18
2020-12-27,21
2021-01-03,17
2021-01-10,17
2021-01-17,14
2021-01-24,20
2021-01-31,21
2021-02-07,21
2021-02-14,23
2021-02-21,26
2021-02-28,28
2021-03-07,28
2021-03-14,25
2021-03-21,30
2021-03-28,25
2021-04-04,15
2021-04-11,16
2021-04-18,14
2021-04-25,13
2021-05-02,11
2021-05-09,14
2021-05-16,26
2021-05-23,27
2021-05-30,29
2021-06-06,33
2021-06-13,45
2021-06-20,33
2021-06-27,39
2021-07-04,39
2021-07-11,38
2021-07-18,42
2021-07-25,47
2021-08-01,53
2021-08-08,50
2021-08-15,61
2021-08-22,51
2021-08-29,44
2021-09-05,46
2021-09-12,57
2021-09-19,49
2021-09-26,45
2021-10-03,43
2021-10-10,52
2021-10-17,53
2021-10-24,52
2021-10-31,62
2021-11-07,41
2021-11-14,55
2021-11-21,39
2021-11-28,44
2021-12-05,49
2021-12-12,51
2021-12-19,44
2021-12-26,59
2022-01-02,40
2022-01-09,53
2022-01-16,39
2022-01-23,42
2022-01-30,42
2022-02-06,48
2022-02-13,41
2022-02-20,48
2022-02-27,46
2022-03-06,38
2022-03-13,42
2022-03-20,59
2022-03-27,68
2022-04-03,56
2022-04-10,55
2022-04-17,47
2022-04-24,54
2022-05-01,47
2022-05-08,43
2022-05-15,49
2022-05-22,43
2022-05-29,43
