Categoría: Todas las categorías

Semana,feria: (Colombia)
2020-01-05,81
2020-01-12,26
2020-01-19,22
2020-01-26,20
2020-02-02,19
2020-02-09,18
2020-02-16,16
2020-02-23,21
2020-03-01,16
2020-03-08,16
2020-03-15,8
2020-03-22,6
2020-03-29,5
2020-04-05,7
2020-04-12,7
2020-04-19,14
2020-04-26,12
2020-05-03,9
2020-05-10,11
2020-05-17,11
2020-05-24,11
2020-05-31,12
2020-06-07,13
2020-06-14,16
2020-06-21,13
2020-06-28,13
2020-07-05,11
2020-07-12,12
2020-07-19,12
2020-07-26,12
2020-08-02,14
2020-08-09,13
2020-08-16,13
2020-08-23,16
2020-08-30,11
2020-09-06,11
2020-09-13,14
2020-09-20,14
2020-09-27,21
2020-10-04,14
2020-10-11,16
2020-10-18,16
2020-10-25,24
2020-11-01,24
2020-11-08,32
2020-11-15,30
2020-11-22,23
2020-11-29,22
2020-12-06,17
2020-12-13,19
2020-12-20,27
2020-12-27,18
2021-01-03,11
2021-01-10,10
2021-01-17,9
2021-01-24,9
2021-01-31,10
2021-02-07,10
2021-02-14,11
2021-02-21,11
2021-02-28,10
2021-03-07,11
2021-03-14,11
2021-03-21,11
2021-03-28,8
2021-04-04,9
2021-04-11,9
2021-04-18,9
2021-04-25,8
2021-05-02,8
2021-05-09,9
2021-05-16,9
2021-05-23,9
2021-05-30,11
2021-06-06,13
2021-06-13,14
2021-06-20,16
2021-06-27,13
2021-07-04,14
2021-07-11,51
2021-07-18,37
2021-07-25,30
2021-08-01,41
2021-08-08,66
2021-08-15,61
2021-08-22,26
2021-08-29,22
2021-09-05,29
2021-09-12,30
2021-09-19,25
2021-09-26,25
2021-10-03,27
2021-10-10,19
2021-10-17,22
2021-10-24,21
2021-10-31,19
2021-11-07,26
2021-11-14,21
2021-11-21,23
2021-11-28,25
2021-12-05,29
2021-12-12,36
2021-12-19,50
2021-12-26,100
2022-01-02,69
2022-01-09,23
2022-01-16,14
2022-01-23,14
2022-01-30,17
2022-02-06,15
2022-02-13,15
2022-02-20,15
2022-02-27,16
2022-03-06,14
2022-03-13,13
2022-03-20,17
2022-03-27,19
2022-04-03,22
2022-04-10,22
2022-04-17,62
2022-04-24,76
2022-05-01,43
2022-05-08,33
2022-05-15,21
2022-05-22,17
2022-05-29,19
