Categoría: Todas las categorías

Semana,vomito: (Colombia)
2020-01-05,82
2020-01-12,68
2020-01-19,81
2020-01-26,55
2020-02-02,61
2020-02-09,56
2020-02-16,61
2020-02-23,61
2020-03-01,54
2020-03-08,47
2020-03-15,47
2020-03-22,48
2020-03-29,50
2020-04-05,54
2020-04-12,54
2020-04-19,48
2020-04-26,45
2020-05-03,44
2020-05-10,50
2020-05-17,49
2020-05-24,44
2020-05-31,42
2020-06-07,47
2020-06-14,48
2020-06-21,50
2020-06-28,48
2020-07-05,44
2020-07-12,57
2020-07-19,55
2020-07-26,49
2020-08-02,48
2020-08-09,47
2020-08-16,52
2020-08-23,43
2020-08-30,46
2020-09-06,48
2020-09-13,45
2020-09-20,47
2020-09-27,55
2020-10-04,53
2020-10-11,56
2020-10-18,55
2020-10-25,60
2020-11-01,59
2020-11-08,52
2020-11-15,53
2020-11-22,56
2020-11-29,63
2020-12-06,63
2020-12-13,70
2020-12-20,96
2020-12-27,89
2021-01-03,84
2021-01-10,87
2021-01-17,74
2021-01-24,76
2021-01-31,73
2021-02-07,65
2021-02-14,63
2021-02-21,47
2021-02-28,58
2021-03-07,53
2021-03-14,50
2021-03-21,50
2021-03-28,72
2021-04-04,56
2021-04-11,54
2021-04-18,57
2021-04-25,69
2021-05-02,52
2021-05-09,56
2021-05-16,65
2021-05-23,56
2021-05-30,69
2021-06-06,63
2021-06-13,74
2021-06-20,74
2021-06-27,72
2021-07-04,78
2021-07-11,71
2021-07-18,71
2021-07-25,62
2021-08-01,58
2021-08-08,61
2021-08-15,68
2021-08-22,62
2021-08-29,66
2021-09-05,64
2021-09-12,53
2021-09-19,69
2021-09-26,61
2021-10-03,60
2021-10-10,72
2021-10-17,62
2021-10-24,59
2021-10-31,76
2021-11-07,58
2021-11-14,64
2021-11-21,56
2021-11-28,60
2021-12-05,66
2021-12-12,68
2021-12-19,69
2021-12-26,92
2022-01-02,100
2022-01-09,94
2022-01-16,78
2022-01-23,76
2022-01-30,74
2022-02-06,76
2022-02-13,62
2022-02-20,63
2022-02-27,69
2022-03-06,58
2022-03-13,70
2022-03-20,70
2022-03-27,66
2022-04-03,79
2022-04-10,87
2022-04-17,71
2022-04-24,76
2022-05-01,69
2022-05-08,67
2022-05-15,72
2022-05-22,63
2022-05-29,64
