Categoría: Todas las categorías

Semana,nueva era: (Colombia)
2021-01-03,17
2021-01-10,22
2021-01-17,27
2021-01-24,27
2021-01-31,34
2021-02-07,36
2021-02-14,31
2021-02-21,35
2021-02-28,44
2021-03-07,27
2021-03-14,37
2021-03-21,34
2021-03-28,37
2021-04-04,41
2021-04-11,40
2021-04-18,45
2021-04-25,41
2021-05-02,38
2021-05-09,30
2021-05-16,36
2021-05-23,36
2021-05-30,30
2021-06-06,38
2021-06-13,38
2021-06-20,29
2021-06-27,38
2021-07-04,36
2021-07-11,96
2021-07-18,100
2021-07-25,78
2021-08-01,67
2021-08-08,55
2021-08-15,62
2021-08-22,52
2021-08-29,52
2021-09-05,41
2021-09-12,41
2021-09-19,39
2021-09-26,48
2021-10-03,45
2021-10-10,19
2021-10-17,34
2021-10-24,50
2021-10-31,33
2021-11-07,53
2021-11-14,40
2021-11-21,39
2021-11-28,40
2021-12-05,31
2021-12-12,15
2021-12-19,34
2021-12-26,15
2022-01-02,43
2022-01-09,35
2022-01-16,19
2022-01-23,39
2022-01-30,42
2022-02-06,35
2022-02-13,35
2022-02-20,40
2022-02-27,29
2022-03-06,33
2022-03-13,30
2022-03-20,35
2022-03-27,32
2022-04-03,37
2022-04-10,26
2022-04-17,46
2022-04-24,32
2022-05-01,46
2022-05-08,31
2022-05-15,36
2022-05-22,28
2022-05-29,41
2022-06-05,39
2022-06-12,26
2022-06-19,23
2022-06-26,36
